code,Ethnicity,Grouping_16,Grouping_6,Label_16,Label_6
20291009,Lacandon,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
21047009,Aleuts,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
22007004,Shoshone,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
23517005,Polynesians,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
23534002,Melanesians,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
25750005,Admiralty Islanders,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
270464009,N African Arab/Iranian (NMO),16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
27301002,Paez,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
275594002,North African Arab (NMO),16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
275595001,Iranian (NMO),16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
27700004,Iraqi,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
28821007,Easter Islanders,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
296841000000102,Yemeni,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
312859007,Vietnamese,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
315282008,Other ethnic group,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
32873005,Bloods,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
33182009,Trukese,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
3353005,Pueblo,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
34334001,New Caledonians,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
35007000,Utes,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
3698008,Micronesians,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
38144004,Athabascans,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
38361009,Koreans,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
38750003,Bororo,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
4073004,Palauans,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
413569000,Arab,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
414661004,Melanesian,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
41798002,Caroline Islanders,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
43056000,Cuna,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
43608005,Australian Aborigines,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
43890005,Dieguenos,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
47327008,Mexican Indians,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
48118002,Yapese,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
48294008,Solomon Islanders,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
48375000,Seminole,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
49202008,Gilbertese,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
50405005,Senoi,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
55990000,Inca,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
57539009,Navaho,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
583481000000105,Other ethnic NEC (NMO),16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
592491000000104,Other New Zealand ethnic group,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
592501000000105,New Zealand ethnic group NOS,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
59487007,Syrians,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
59597001,Marshallese,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
60157000,Ellice Islanders,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
62598008,Venezuelan Indians,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
63457007,Maya,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
6373008,Choco,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
63732001,New Hebrideans,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
65776006,Blackfeet,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
661731000000107,Other Pacific ethnic group,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
66406004,Huasteco,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
666871000000107,Other ethnic group,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
66920001,Amerind,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
67931002,Aztec,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
69865008,Fijian,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
69983001,Irani,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
71949006,Chippewa,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
72337002,Brazilian Indians,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
73524008,Caingang,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
73736004,Maori,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
74159009,Melanuans,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
74302004,Apache,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
75301003,Mapuche,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
75326007,Labradors,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
75704009,Toba,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
76460008,Yanomama,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
76883002,Huichol,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
77502007,Atacamenos,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
77686000,Kwakiutl,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
79434006,Quechua,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
81560001,Tongan,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
81653003,Pehuenches,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
85515006,Eskimo,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
86275006,Samoan,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
87323008,Nez Percé,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
89001000000105,Arab - ethnic category 2001 census,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
89011000000107,Iranian - ethnic category 2001 census,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
89021000000101,South and Central American - ethnic category 2001 census,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
89026003,Alacaluf,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
90027003,Arabs,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
91488008,New Britons,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
92521000000101,Other - ethnic category 2001 census,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
94071000000100,"Middle Eastern (excluding Israeli, Iranian and Arab) - ethnic category 2001 census",16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
94081000000103,Israeli - ethnic category 2001 census,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
94091000000101,Kurdish - ethnic category 2001 census,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
94101000000109,Moroccan - ethnic category 2001 census,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
94111000000106,Latin American - ethnic category 2001 census,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
94121000000100,Multi-ethnic islands: Mauritian or Seychellois or Maldivian or St Helena - ethnic category 2001 census,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
94151000000105,Any other group - ethnic category 2001 census,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
976951000000102,Other ethnic group: Arab - England and Wales ethnic category 2011 census,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
976961000000104,Other ethnic group: Arab - England and Wales ethnic category 2011 census,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
976971000000106,Other ethnic group: any other ethnic group - England and Wales ethnic category 2011 census,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
976981000000108,Other ethnic group: any other ethnic group - England and Wales ethnic category 2011 census,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
977851000000109,Other ethnic group: Arab - Northern Ireland ethnic category 2011 census,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
977861000000107,Other ethnic group: Arab - Northern Ireland ethnic category 2011 census,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
977871000000100,Other ethnic group: any other ethnic group - Northern Ireland ethnic category 2011 census,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
977881000000103,Other ethnic group: any other ethnic group - Northern Ireland ethnic category 2011 census,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
978381000000105,"Other ethnic group: Arab, Arab Scottish or Arab British - Scotland ethnic category 2011 census",16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
978391000000107,"Other ethnic group: Arab, Arab Scottish or Arab British - Scotland ethnic category 2011 census",16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
978401000000105,Other ethnic group: any other ethnic group - Scotland ethnic category 2011 census,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
978411000000107,Other ethnic group: any other ethnic group - Scotland ethnic category 2011 census,16,5,Other Ethnic Groups - Any other ethnic group,Chinese or Other Ethnic Groups
154181004,Chinese,15,5,Other Ethnic Groups - Chinese,Chinese or Other Ethnic Groups
154224002,Chinese,15,5,Other Ethnic Groups - Chinese,Chinese or Other Ethnic Groups
186004002,Chinese,15,5,Other Ethnic Groups - Chinese,Chinese or Other Ethnic Groups
33897005,Chinese,15,5,Other Ethnic Groups - Chinese,Chinese or Other Ethnic Groups
92511000000107,Chinese - ethnic category 2001 census,15,5,Other Ethnic Groups - Chinese,Chinese or Other Ethnic Groups
976851000000107,Asian or Asian British: Chinese - England and Wales ethnic category 2011 census,15,5,Other Ethnic Groups - Chinese,Chinese or Other Ethnic Groups
977751000000101,Asian or Asian British: Chinese - Northern Ireland ethnic category 2011 census,15,5,Other Ethnic Groups - Chinese,Chinese or Other Ethnic Groups
978191000000109,Asian or Asian Scottish or Asian British: Chinese - Scotland ethnic category 2011 census,15,5,Other Ethnic Groups - Chinese,Chinese or Other Ethnic Groups
976861000000105,Asian or Asian British: Chinese - England and Wales ethnic category 2011 census,15,5,Other Ethnic Groups - Chinese,Chinese or Other Ethnic Groups
977761000000103,Asian or Asian British: Chinese - Northern Ireland ethnic category 2011 census,15,5,Other Ethnic Groups - Chinese,Chinese or Other Ethnic Groups
978201000000106,Asian or Asian Scottish or Asian British: Chinese - Scotland ethnic category 2011 census,15,5,Other Ethnic Groups - Chinese,Chinese or Other Ethnic Groups
110791000000100,Black British - ethnic category 2001 census,14,4,Black or Black British - Any other Black background,Black or Black British
15086000,African American,14,4,Black or Black British - Any other Black background,Black or Black British
154166005,"Black, other, non-mixed origin",14,4,Black or Black British - Any other Black background,Black or Black British
154167001,Black British,14,4,Black or Black British - Any other Black background,Black or Black British
154169003,Black N African &/or Arab &/or Iranian,14,4,Black or Black British - Any other Black background,Black or Black British
154171003,Black E Afric Asia &/or Indo-Caribb,14,4,Black or Black British - Any other Black background,Black or Black British
154172005,Black Indian sub-continent,14,4,Black or Black British - Any other Black background,Black or Black British
154173000,Black - other Asian,14,4,Black or Black British - Any other Black background,Black or Black British
154174006,Black Black - other,14,4,Black or Black British - Any other Black background,Black or Black British
154206004,Other black ethnic group,14,4,Black or Black British - Any other Black background,Black or Black British
185989004,"Black, other, non-mixed origin",14,4,Black or Black British - Any other Black background,Black or Black British
185990008,Black British,14,4,Black or Black British - Any other Black background,Black or Black British
185992000,Black N African &/or Arab &/or Iranian,14,4,Black or Black British - Any other Black background,Black or Black British
185994004,Black E Afric Asia &/or Indo-Caribb,14,4,Black or Black British - Any other Black background,Black or Black British
185995003,Black Indian sub-continent,14,4,Black or Black British - Any other Black background,Black or Black British
185996002,Black - other Asian,14,4,Black or Black British - Any other Black background,Black or Black British
185997006,Black Black - other,14,4,Black or Black British - Any other Black background,Black or Black British
186029008,Other black ethnic group,14,4,Black or Black British - Any other Black background,Black or Black British
270461001,Black N African/Arab/Iranian,14,4,Black or Black British - Any other Black background,Black or Black British
270462008,Black East African Asian/Indo-Caribbean,14,4,Black or Black British - Any other Black background,Black or Black British
275587000,Black Arab,14,4,Black or Black British - Any other Black background,Black or Black British
275588005,Black Iranian,14,4,Black or Black British - Any other Black background,Black or Black British
275589002,Black East African Asian,14,4,Black or Black British - Any other Black background,Black or Black British
275590006,Black Indo-Caribbean,14,4,Black or Black British - Any other Black background,Black or Black British
315240009,Black - ethnic group,14,4,Black or Black British - Any other Black background,Black or Black British
315279003,Other black ethnic group,14,4,Black or Black British - Any other Black background,Black or Black British
651601000000100,Black Black - other,14,4,Black or Black British - Any other Black background,Black or Black British
92501000000105,Other Black background - ethnic category 2001 census,14,4,Black or Black British - Any other Black background,Black or Black British
92741000000104,Other Black or Black unspecified - ethnic category 2001 census,14,4,Black or Black British - Any other Black background,Black or Black British
976931000000109,Black or African or Caribbean or Black British: other Black or African or Caribbean background - England and Wales ethnic category 2011 census,14,4,Black or Black British - Any other Black background,Black or Black British
977831000000102,Black or African or Caribbean or Black British: other Black or African or Caribbean background - Northern Ireland ethnic category 2011 census,14,4,Black or Black British - Any other Black background,Black or Black British
978271000000103,"Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British - Scotland ethnic category 2011 census",14,4,Black or Black British - Any other Black background,Black or Black British
978341000000102,"Caribbean or Black: Black, Black Scottish or Black British - Scotland ethnic category 2011 census",14,4,Black or Black British - Any other Black background,Black or Black British
978361000000101,Caribbean or Black: any other Black or Caribbean group - Scotland ethnic category 2011 census,14,4,Black or Black British - Any other Black background,Black or Black British
976941000000100,Black or African or Caribbean or Black British : other black or African or Caribbean background - England and Wales ethnic category 2011 census,14,4,Black or Black British - Any other Black background,Black or Black British
978371000000108,Caribbean or Black: any other Black or Caribbean group - Scotland ethnic category 2011 census,14,4,Black or Black British - Any other Black background,Black or Black British
977841000000106,Black or African or Caribbean or Black British: other black or African or Caribbean background - Northern Ireland ethnic category 2011 census,14,4,Black or Black British - Any other Black background,Black or Black British
978351000000104,Caribbean or Black: Black Black Scottish or Black British - Scotland ethnic category 2011 census,14,4,Black or Black British - Any other Black background,Black or Black British
521000220104,Black Irish (ethnic group),14,4,Black or Black British - Any other Black background,Black or Black British
10008004,Ewe,13,4,Black or Black British - African,Black or Black British
11794009,Kenyans,13,4,Black or Black British - African,Black or Black British
13440006,Tanganyikans,13,4,Black or Black British - African,Black or Black British
14470009,Tutsi,13,4,Black or Black British - African,Black or Black British
154165009,Black African,13,4,Black or Black British - African,Black or Black British
154170002,Black - other African country,13,4,Black or Black British - African,Black or Black British
154187000,Other African countries (NMO),13,4,Black or Black British - African,Black or Black British
18167009,Black African,13,4,Black or Black British - African,Black or Black British
185993005,Black - other African country,13,4,Black or Black British - African,Black or Black British
186010002,Other African countries (NMO),13,4,Black or Black British - African,Black or Black British
1919006,Egyptians,13,4,Black or Black British - African,Black or Black British
21868006,Madagascans,13,4,Black or Black British - African,Black or Black British
23922002,Batutsi,13,4,Black or Black British - African,Black or Black British
2720008,Hututu,13,4,Black or Black British - African,Black or Black British
275586009,Black North African,13,4,Black or Black British - African,Black or Black British
37474002,Ghanaians,13,4,Black or Black British - African,Black or Black British
37843006,Fulani,13,4,Black or Black British - African,Black or Black British
3818007,Senegalese,13,4,Black or Black British - African,Black or Black British
39764005,Bantu,13,4,Black or Black British - African,Black or Black British
41076003,Mozambiquans,13,4,Black or Black British - African,Black or Black British
46110004,Somalis,13,4,Black or Black British - African,Black or Black British
51750002,Hottentot,13,4,Black or Black British - African,Black or Black British
52075006,Congolese,13,4,Black or Black British - African,Black or Black British
58047002,Barundi,13,4,Black or Black British - African,Black or Black British
59366001,Ibo,13,4,Black or Black British - African,Black or Black British
67439005,Msutu,13,4,Black or Black British - African,Black or Black British
71176007,Pygmies,13,4,Black or Black British - African,Black or Black British
72201005,Hobe,13,4,Black or Black British - African,Black or Black British
72248007,Kikuyu,13,4,Black or Black British - African,Black or Black British
76253004,Zulu,13,4,Black or Black British - African,Black or Black British
76775001,Ugandans,13,4,Black or Black British - African,Black or Black British
80528001,Xosa,13,4,Black or Black British - African,Black or Black British
8124001,West Africans,13,4,Black or Black British - African,Black or Black British
82174001,Shona,13,4,Black or Black British - African,Black or Black British
83584002,Luo,13,4,Black or Black British - African,Black or Black British
85371009,Bushmen,13,4,Black or Black British - African,Black or Black British
870448005,Khoikhoi,13,4,Black or Black British - African,Black or Black British
88790004,Abyssinians (Amharas),13,4,Black or Black British - African,Black or Black British
88839008,Sudanese,13,4,Black or Black British - African,Black or Black British
88934004,Nigerians,13,4,Black or Black British - African,Black or Black British
90822005,Gambians,13,4,Black or Black British - African,Black or Black British
9158000,Liberians,13,4,Black or Black British - African,Black or Black British
92491000000104,African - ethnic category 2001 census,13,4,Black or Black British - African,Black or Black British
92711000000100,Somali - ethnic category 2001 census,13,4,Black or Black British - African,Black or Black British
92731000000108,Nigerian - ethnic category 2001 census,13,4,Black or Black British - African,Black or Black British
94061000000107,North African - ethnic category 2001 census,13,4,Black or Black British - African,Black or Black British
976891000000104,Black or African or Caribbean or Black British: African - England and Wales ethnic category 2011 census,13,4,Black or Black British - African,Black or Black British
977791000000109,Black or African or Caribbean or Black British: African - Northern Ireland ethnic category 2011 census,13,4,Black or Black British - African,Black or Black British
978231000000100,"African: African, African Scottish or African British - Scotland ethnic category 2011 census",13,4,Black or Black British - African,Black or Black British
978251000000107,African: any other African - Scotland ethnic category 2011 census,13,4,Black or Black British - African,Black or Black British
978241000000109,African: African African Scottish or African British - Scotland ethnic category 2011 census,13,4,Black or Black British - African,Black or Black British
976901000000103,Black or African or Caribbean or Black British: African - England and Wales ethnic category 2011 census,13,4,Black or Black British - African,Black or Black British
977801000000108,Black or African or Caribbean or Black British: African - Northern Ireland ethnic category 2011 census,13,4,Black or Black British - African,Black or Black British
978261000000105,African: any other African - Scotland ethnic category 2011 census,13,4,Black or Black British - African,Black or Black British
107691000000105,Caribbean - ethnic category 2001 census,12,4,Black or Black British - Caribbean,Black or Black British
154164008,Black Caribbean,12,4,Black or Black British - Caribbean,Black or Black British
154168006,Black Caribbean &/or W.I. &/or Guyana,12,4,Black or Black British - Caribbean,Black or Black British
154185008,Caribbean I. &/or W.I. &/or Guyana (NMO),12,4,Black or Black British - Caribbean,Black or Black British
160531006,Race: West indian,12,4,Black or Black British - Caribbean,Black or Black British
185988007,Black Caribbean,12,4,Black or Black British - Caribbean,Black or Black British
185991007,Black Caribbean &/or W.I. &/or Guyana,12,4,Black or Black British - Caribbean,Black or Black British
186008004,Caribbean I. &/or W.I. &/or Guyana (NMO),12,4,Black or Black British - Caribbean,Black or Black British
270460000,Black Caribbean/West India/Guyana,12,4,Black or Black British - Caribbean,Black or Black British
270463003,Caribbean I./W.I./Guyana (NMO),12,4,Black or Black British - Caribbean,Black or Black British
275591005,Caribbean Island (NMO),12,4,Black or Black British - Caribbean,Black or Black British
275592003,West Indian (NMO),12,4,Black or Black British - Caribbean,Black or Black British
275593008,Guyana (NMO),12,4,Black or Black British - Caribbean,Black or Black British
309643000,Black West Indian,12,4,Black or Black British - Caribbean,Black or Black British
309644006,Black Guyana,12,4,Black or Black British - Caribbean,Black or Black British
413465009,Afro-Caribbean,12,4,Black or Black British - Caribbean,Black or Black British
976911000000101,Black or African or Caribbean or Black British: Caribbean - England and Wales ethnic category 2011 census,12,4,Black or Black British - Caribbean,Black or Black British
977811000000105,Black or African or Caribbean or Black British: Caribbean - Northern Ireland ethnic category 2011 census,12,4,Black or Black British - Caribbean,Black or Black British
976921000000107,Black or African or Caribbean or Black British : Caribbean - England and Wales ethnic category 2011 census (finding),12,4,Black or Black British - Caribbean,Black or Black British
977821000000104,Black or African or Caribbean or Black British: Caribbean - Northern Ireland ethnic category 2011 census,12,4,Black or Black British - Caribbean,Black or Black British
978281000000101,Caribbean or Black: Caribbean Caribbean Scottish or Caribbean British - Scotland ethnic category 2011 census,12,4,Black or Black British - Caribbean,Black or Black British
10432001,Onge,11,3,Asian or Asian British - Any other Asian background,Asian or Asian British
110781000000102,Sinhalese - ethnic category 2001 census,11,3,Asian or Asian British - Any other Asian background,Asian or Asian British
12556008,Tamils,11,3,Asian or Asian British - Any other Asian background,Asian or Asian British
1340002,Malays,11,3,Asian or Asian British - Any other Asian background,Asian or Asian British
154188005,E Afric Asian &/or Indo-Carib (NMO),11,3,Asian or Asian British - Any other Asian background,Asian or Asian British
154190006,Other Asian (NMO),11,3,Asian or Asian British - Any other Asian background,Asian or Asian British
154207008,Other Asian ethnic group,11,3,Asian or Asian British - Any other Asian background,Asian or Asian British
154223008,South East Asian,11,3,Asian or Asian British - Any other Asian background,Asian or Asian British
